"id","job","location","team"
"4fd3af76-2d3e-4786-9198-e9badab9f344","Coordinator, Feature Animation Production","Los Angeles, California","Animation"
"d9337133-9787-4d2c-9e5e-65c5f31b23ae","Coordinator, Content Acquisition - Korea","Seoul, South Korea","APAC Content"
"0a288edf-d37a-4b73-80fe-b0242ba70beb","Coordinator, Korean Originals","Seoul, South Korea","APAC Content"
"6d336d15-2229-4130-b83a-d0309ad25e5f","Manager, Korean Originals (Creative)","Seoul, South Korea","APAC Content"
"b7905dc6-dd18-49fe-b224-b6f958746f85","Manager, Live Action, Japanese Originals","Tokyo, Japan","APAC Content"
"8e11c0ce-d898-4aab-aca2-77b62cddfd21","Producer, Anime - Japan","Tokyo, Japan","APAC Content"
"c0d968b3-1d33-4c08-bc55-d0beed968c78","Producer, Live Action - Japan","Tokyo, Japan","APAC Content"
"e045baf8-63b3-460d-a029-6cf3a162c3eb","Senior Producer, Creative, Anime","Tokyo, Japan","APAC Content"
"187bd728-e40f-494f-9a45-3c204520cdbb","Asset Specialist - APAC","Seoul, South Korea","Asset Management & Media Services"
"ae2bf88b-55aa-47ba-b4f8-af17b3b90dea","Asset Specialist - UK","London, United Kingdom","Asset Management & Media Services"
"74d409aa-f98c-4eef-a227-31d181da702b","Technician, Screening Operations","Los Angeles, California","Asset Management & Media Services"
"e5e0a923-6698-4a99-81d9-829bdf716764","Director, Creative Marketing, Talent Relations & Awards","Los Angeles, California","Awards"
"c1b9d254-b3a2-4822-ba9c-1e4761c0f3cf","Brand and Editorial Director - Japan","Tokyo, Japan","Brand and Editorial Marketing"
"e3447a0f-df6c-4b62-aab0-8ff334e55663","Brand and Editorial, Head of Anime","Tokyo, Japan","Brand and Editorial Marketing"
"654c9175-1051-4330-a67b-78cbe02ec552","Community Manager, @NetflixBrasil","Alphaville, Brazil","Brand and Editorial Marketing"
"ec6d1ca6-81ac-48bb-a4a1-044576c4b97b","Legal Manager, Business Development Legal - APAC","Singapore, Singapore","Business Development, Marketing and Product Legal"
"040e82f1-df04-4707-a55b-d3c6add52415","Communications Administrative Assistant","Mexico City, Mexico","Communications"
"678fd228-ac4e-49e7-883b-64c27fcf12bc","Head of Communications - Japan","Tokyo, Japan","Communications"
"ff6ad760-ad6b-419b-8e62-f89c0a58c750","Manager, Communications - Film","Los Angeles, California","Communications"
"4b3529bb-4944-40b1-9e3b-381b07eb80f8","Licensing Specialist, Consumer Products","Los Angeles, California","Consumer Products"
"80a16272-564b-4eca-bd93-743fc7f84129","Manager, Product Development - Consumer Products","Los Angeles, California","Consumer Products"
"50922f26-1250-47e4-bda8-c05da47cd8bb","Publishing Coordinator (Tie-Ins), Consumer Products","Los Angeles, California","Consumer Products"
"6388bedd-d312-4727-a236-57a2547d03b8","Senior Fullstack Engineer - Media Cloud Engineering","Los Gatos, California","Content Engineering Core"
"21c89de4-0bc6-4608-85c4-82baf5b99989","Senior Research Scientist - Video Encoding","Los Gatos, California","Content Engineering Core"
"5ade9631-8bf0-4024-aaef-aa1f01eab723","Senior Software Engineer - Content Finance Engineering","Los Gatos, California","Content Engineering Core"
"8f70ecc8-5f7e-4c1a-ac67-78980c3b4402","Senior Software Engineer - Media Cloud Engineering","Los Gatos, California","Content Engineering Core"
"50751ed4-63ec-45f9-8746-7d70bac0d4ff","Associate, Content Strategy & Analysis","Los Angeles, California","Content FP&A"
"75883837-ef95-4790-857c-811ee0c29988","Associate, Studio Strategy & Analysis","Los Angeles, California","Content FP&A"
"bb9d2c28-bee5-4eaa-a409-8f7196c19e08","Manager, Content FP&A - Japan","Tokyo, Japan","Content FP&A"
"7e5f022a-2bda-413d-9bcb-10a719e99cdc","Senior Financial Analyst - Content FP&A","Los Angeles, California","Content FP&A"
"42d6a570-210e-4c89-aabb-e232aa03acdd","Senior Financial Analyst - Content FP&A","Amsterdam, Netherlands","Content FP&A"
"288f13e2-9029-403f-91df-c7288436a59c","Senior Financial Analyst, Studio FP&A","Los Angeles, California","Content FP&A"
"952f4c7c-d9ec-4446-9dd0-d64d118c84fa","Administrative Assistant, Public Policy Specialist Team","Amsterdam, Netherlands","Content Legal"
"f6a0ab51-a4fb-4ac0-a1ec-3013ad92c23d","Counsel, Content - Japan","Tokyo, Japan","Content Legal"
"f7ca77d8-c2fa-42a9-8c5b-1a5d8512c4b7","Counsel, Intellectual Property - India","Mumbai, India","Content Legal"
"14849072-7499-4055-95fc-4d8ae4dcc065","Director, Business & Legal Affairs - LatAm","Mexico City, Mexico","Content Legal"
