"Date","Open","High","Low","Close","AdjClose","Volume"
"2019-01-02",3.028,3.031,2.986,3,2.663103,4232585
"2019-01-03",3.006,3.053,3,3.025,2.685295,4118827
"2019-01-04",3.031,3.099,3.031,3.099,2.750985,6716530
"2019-01-07",3.082,3.106,3.078,3.078,2.732344,2968004
"2019-01-08",3.095,3.11,3.068,3.075,2.729681,4108488
"2019-01-09",3.09,3.099,3.066,3.075,2.729681,3305719
"2019-01-10",3.07,3.086,3.056,3.062,2.71814,4497406
"2019-01-11",3.079,3.088,3.06,3.085,2.738557,4344541
"2019-01-14",3.07,3.085,3.056,3.078,2.732344,3904544
"2019-01-15",3.08,3.082,3.049,3.07,2.725242,4931864
"2019-01-16",3.069,3.081,3.055,3.064,2.719916,3238178
"2019-01-17",3.064,3.071,3.045,3.061,2.717253,3793603
"2019-01-18",3.075,3.095,3.059,3.075,2.729681,5261033
"2019-01-21",3.061,3.07,3.037,3.043,2.701274,3912576
"2019-01-22",3.022,3.04,3.004,3.04,2.698611,5916406
"2019-01-23",3.038,3.066,3.028,3.048,2.705713,5151338
"2019-01-24",3.046,3.069,3.038,3.053,2.710151,5863622
"2019-01-25",3.053,3.095,3.05,3.095,2.747434,5137113
"2019-01-28",3.12,3.125,3.052,3.088,2.741221,7681426
"2019-01-29",3.073,3.152,3.073,3.136,2.78383,8284714
"2019-01-30",3.124,3.199,3.119,3.155,2.800696,7648709
"2019-01-31",3.179,3.2,3.154,3.19,2.831766,9136861
"2019-02-01",3.192,3.205,3.164,3.19,2.831766,6421181
"2019-02-04",3.168,3.21,3.168,3.197,2.83798,5004890
"2019-02-05",3.21,3.222,3.199,3.219,2.857509,5332052
"2019-02-06",3.217,3.246,3.205,3.23,2.867274,4624724
"2019-02-07",3.227,3.24,3.209,3.209,2.848632,3584196
"2019-02-08",3.199,3.209,3.159,3.164,2.808686,6770490
"2019-02-11",3.166,3.214,3.154,3.158,2.80336,4762259
"2019-02-12",3.165,3.195,3.154,3.19,2.831766,4245160
"2019-02-13",3.179,3.193,3.16,3.182,2.824664,4834937
"2019-02-14",3.192,3.274,3.184,3.26,2.893905,9477777
"2019-02-15",3.253,3.259,3.197,3.248,2.883253,8205834
"2019-02-18",3.25,3.26,3.239,3.26,2.893905,3083498
"2019-02-19",3.23,3.282,3.23,3.27,2.902782,5214951
"2019-02-20",3.28,3.286,3.259,3.273,2.905445,6343731
"2019-02-21",3.26,3.281,3.208,3.235,2.871712,5677790
